,followers,following,accountreputation,CDFx,CDFy
71,1117,548,0.670870870871,0.261802575107,0.308695652174
72,2622,2673,0.495184135977,0.262295081967,0.313043478261
73,640,491,0.565870910698,0.263157894737,0.317391304348
74,196,31,0.863436123348,0.267749963402,0.321739130435
75,136,139,0.494545454545,0.268292682927,0.326086956522
76,323,525,0.380896226415,0.269230769231,0.330434782609
77,159,956,0.142600896861,0.271393643032,0.334782608696
78,146,274,0.347619047619,0.27265655387,0.339130434783
79,240830,78268,0.754721120157,0.273712737127,0.34347826087
80,432,1054,0.290713324361,0.274258219727,0.347826086957
81,38,226,0.143939393939,0.275236294896,0.352173913043
82,1079,360,0.749826268242,0.288586635127,0.35652173913
83,20,56,0.263157894737,0.290713324361,0.360869565217
84,125,126,0.498007968127,0.294335627316,0.365217391304
85,404,1072,0.273712737127,0.294650951949,0.369565217391
86,258,293,0.468239564428,0.296385542169,0.373913043478
87,190,98,0.659722222222,0.296875,0.378260869565
88,1382,1191,0.537116206763,0.297872340426,0.382608695652
89,138,397,0.257943925234,0.2995951417,0.386956521739
90,599,180,0.768934531451,0.3,0.391304347826
91,179,655,0.214628297362,0.300191204589,0.395652173913
92,1871,839,0.690405904059,0.305882352941,0.4
93,1211,959,0.558064516129,0.306182895224,0.404347826087
94,249,269,0.480694980695,0.310912834592,0.408695652174
95,123,292,0.296385542169,0.313106796117,0.413043478261
96,1686,1724,0.494428152493,0.31512605042,0.417391304348
97,75,111,0.403225806452,0.319371727749,0.421739130435
98,19,60,0.240506329114,0.323076923077,0.426086956522
99,170,483,0.260336906585,0.325301204819,0.430434782609
100,140,68,0.673076923077,0.327526132404,0.434782608696
101,337,335,0.501488095238,0.332051282051,0.439130434783
102,906,2008,0.310912834592,0.333333333333,0.44347826087
103,346,671,0.340216322517,0.335676037483,0.447826086957
104,0,11,0.0,0.337777777778,0.452173913043
105,268,262,0.505660377358,0.337856173677,0.45652173913
106,122,344,0.261802575107,0.340216322517,0.460869565217
107,215,910,0.191111111111,0.343097913323,0.465217391304
108,31,219,0.124,0.347619047619,0.469565217391
109,928,1252,0.425688073394,0.349812734082,0.473913043478
110,998,498,0.667112299465,0.355263157895,0.478260869565
111,6,49,0.109090909091,0.356360316494,0.482608695652
112,55,169,0.245535714286,0.35674676525,0.486956521739
113,640,509,0.557006092254,0.366506153023,0.491304347826
114,611,572,0.516483516484,0.367346938776,0.495652173913
115,238,144,0.623036649215,0.367924528302,0.5
116,54,98,0.355263157895,0.369897959184,0.504347826087
117,1003,1985,0.335676037483,0.372391653291,0.508695652174
118,2,18,0.1,0.374743326489,0.513043478261
119,558,348,0.615894039735,0.377551020408,0.517391304348
120,16,50,0.242424242424,0.380896226415,0.521739130435
121,2854,897,0.760863769661,0.384615384615,0.526086956522
122,5,29,0.147058823529,0.403225806452,0.530434782609
123,244,868,0.219424460432,0.405479452055,0.534782608696
124,53,57,0.481818181818,0.415300546448,0.539130434783
125,232,731,0.240913811007,0.417036098797,0.54347826087
126,855,1637,0.343097913323,0.422265816577,0.547826086957
127,314,907,0.257166257166,0.422872340426,0.552173913043
128,174,131,0.570491803279,0.424606462303,0.55652173913
129,653,1909,0.254879000781,0.425688073394,0.560869565217
130,232,391,0.372391653291,0.431989924433,0.565217391304
131,518,1042,0.332051282051,0.432358611825,0.569565217391
132,404328,34979,0.920376866292,0.440057224607,0.573913043478
133,66,180,0.268292682927,0.443855932203,0.578260869565
134,685,1184,0.366506153023,0.445504809513,0.582608695652
135,228,540,0.296875,0.449959460829,0.586956521739
136,634,600,0.513776337115,0.450185711165,0.591304347826
137,792,290,0.731977818854,0.450626990847,0.595652173913
138,4109,4617,0.470891588357,0.455868677475,0.6
139,35,30,0.538461538462,0.461165048544,0.604347826087
140,599,244,0.710557532622,0.463081987772,0.608695652174
141,447,246,0.645021645022,0.463876432486,0.613043478261
142,488,1696,0.223443223443,0.464251502221,0.617391304348
143,540,595,0.47577092511,0.465430016863,0.621739130435
144,1417,498,0.739947780679,0.467213114754,0.626086956522
145,18,31,0.367346938776,0.468239564428,0.630434782609
146,1005,999,0.501497005988,0.470891588357,0.634782608696
147,5166,1047,0.831482375664,0.47409899938,0.639130434783
148,372,1468,0.202173913043,0.47546346783,0.64347826087
149,1000,807,0.553403431101,0.47577092511,0.647826086957
150,488,1203,0.288586635127,0.475996990218,0.652173913043
151,2672,2837,0.485024505355,0.478058940066,0.65652173913
152,109,45,0.707792207792,0.478377908996,0.660869565217
153,1652,1047,0.61207854761,0.480694980695,0.665217391304
154,65,104,0.384615384615,0.481619418195,0.669565217391
155,2083,1773,0.540197095436,0.481818181818,0.673913043478
156,9462,10121,0.483174181688,0.483174181688,0.678260869565
157,342,905,0.274258219727,0.485024505355,0.682608695652
158,3655,541,0.871067683508,0.49310648284,0.686956521739
159,8,16,0.333333333333,0.494428152493,0.691304347826
160,87,309,0.219696969697,0.494545454545,0.695652173913
161,250,124,0.668449197861,0.495184135977,0.7
162,4121,5033,0.450185711165,0.498007968127,0.704347826087
163,666,434,0.605454545455,0.501198055727,0.708695652174
164,324,1210,0.211212516297,0.501488095238,0.713043478261
165,14,33,0.297872340426,0.501497005988,0.717391304348
166,2691,3533,0.432358611825,0.501542867017,0.721739130435
167,314,732,0.300191204589,0.502225116683,0.726086956522
168,435,741,0.369897959184,0.503714422652,0.730434782609
169,11176,13625,0.450626990847,0.505660377358,0.734782608696
170,333,894,0.271393643032,0.507352941176,0.739130434783
171,80,316,0.20202020202,0.510979929162,0.74347826087
172,1561,870,0.642122583299,0.513776337115,0.747826086957
173,336,1062,0.240343347639,0.516483516484,0.752173913043
174,42,190,0.181034482759,0.517065350378,0.75652173913
175,7321,7286,0.501198055727,0.519839594766,0.760869565217
176,81,615,0.116379310345,0.521518987342,0.765217391304
177,747,1464,0.337856173677,0.53231679563,0.769565217391
178,52,493,0.0954128440367,0.537116206763,0.773913043478
179,419,525,0.443855932203,0.538461538462,0.778260869565
180,414,1669,0.198751800288,0.540197095436,0.782608695652
181,413,1840,0.183311140701,0.545454545455,0.786956521739
182,81,168,0.325301204819,0.553403431101,0.791304347826
183,228,321,0.415300546448,0.557006092254,0.795652173913
184,686,902,0.431989924433,0.558064516129,0.8
185,10708,11878,0.47409899938,0.565870910698,0.804347826087
186,17759,21709,0.449959460829,0.570491803279,0.808695652174
187,5509,6007,0.478377908996,0.605454545455,0.813043478261
188,469,1750,0.211356466877,0.61207854761,0.817391304348
189,260,780,0.25,0.615894039735,0.821739130435
190,6889,2586,0.727071240106,0.623036649215,0.826086956522
191,5882,7321,0.445504809513,0.626610751048,0.830434782609
192,1025,1389,0.424606462303,0.633249370277,0.834782608696
193,1538,1957,0.440057224607,0.636652470763,0.839130434783
194,342,390,0.467213114754,0.642122583299,0.84347826087
195,81,524,0.133884297521,0.643656716418,0.847826086957
196,931,1076,0.463876432486,0.644116441164,0.852173913043
197,65877,71924,0.478058940066,0.645021645022,0.85652173913
198,536,1755,0.233958969882,0.646866846504,0.860869565217
199,5331,6152,0.464251502221,0.659722222222,0.865217391304
200,20317,20192,0.501542867017,0.667112299465,0.869565217391
201,24512,22894,0.517065350378,0.668449197861,0.873913043478
