,followers,following,accountreputation,CDFx,CDFy
91,31,0,1.0,0.588170412243,0.299342105263
92,782,16,0.979949874687,0.593939393939,0.302631578947
93,67,1,0.985294117647,0.6,0.305921052632
94,57,17,0.77027027027,0.609756097561,0.309210526316
95,55,40,0.578947368421,0.618259118371,0.3125
96,190,157,0.547550432277,0.629352302508,0.315789473684
97,50,0,1.0,0.635376434369,0.319078947368
98,108,209,0.340694006309,0.645266272189,0.322368421053
99,68,11,0.860759493671,0.647502694934,0.325657894737
100,314,398,0.441011235955,0.654593639576,0.328947368421
101,635,833,0.432561307902,0.65504358655,0.332236842105
102,1524,1444,0.513477088949,0.669172932331,0.335526315789
103,1117,448,0.713738019169,0.673202614379,0.338815789474
104,543,673,0.446546052632,0.688,0.342105263158
105,267,2,0.992565055762,0.695945945946,0.345394736842
106,13,4,0.764705882353,0.696610169492,0.348684210526
107,102102,1,0.999990205968,0.712101354303,0.351973684211
108,4500,4078,0.524597808347,0.713293319996,0.355263157895
109,72,209,0.256227758007,0.713467048711,0.358552631579
110,61,0,1.0,0.713738019169,0.361842105263
111,2046,24,0.988405797101,0.715664265371,0.365131578947
112,2182,2496,0.466438648995,0.738095238095,0.368421052632
113,31,11,0.738095238095,0.739130434783,0.371710526316
114,56,1,0.982456140351,0.747368421053,0.375
115,14,1,0.933333333333,0.756756756757,0.378289473684
116,10775,1620,0.869302137959,0.764705882353,0.381578947368
117,177,151,0.539634146341,0.77027027027,0.384868421053
118,188,0,1.0,0.777202072539,0.388157894737
119,274,373,0.423493044822,0.789473684211,0.391447368421
120,285,0,1.0,0.795918367347,0.394736842105
121,8821,0,1.0,0.796610169492,0.398026315789
122,294,263,0.527827648115,0.797494780793,0.401315789474
123,15,0,1.0,0.804055766793,0.404605263158
124,228,226,0.502202643172,0.811023622047,0.407894736842
125,17,1,0.944444444444,0.812874251497,0.411184210526
126,29467,2,0.999932132071,0.818181818182,0.414473684211
127,819,1024,0.444384156267,0.841836734694,0.417763157895
128,47,12,0.796610169492,0.842105263158,0.421052631579
